countrycode,country,rgdpe_2013,rgdpo_2013,pop_2013,emp_2013,avh_2013,rgdpe_2014,rgdpo_2014,pop_2014,emp_2014,avh_2014
QAT,Qatar,328093.9063,340716.8438,2.101288,1.569663286,,313516.6563,329638.8438,2.172065,1.619396329,
PRT,Portugal,289294.4375,272002.0313,10.459716,4.309965134,1851.998481,296220.4375,281354.9063,10.402343,4.341347218,1856.896842
GRC,Greece,287361.0313,274454.0625,11.055164,3.979091167,2059.713683,285915.3125,271556.4063,11.000777,3.987721205,2041.668373
MMR,Myanmar,257527.5469,268314.375,52.983829,30.07025909,,285546.2188,300434.2813,53.437159,30.46665955,
ISR,Israel,256733.9531,240246.4375,7.817818,3.807348967,1896.147493,264146.9063,250933.6875,7.939483,3.927196264,1880.277122
HUN,Hungary,244597.8594,216096.4219,9.924507,4.039829254,1879.774687,254734.1719,224983.125,9.88954,4.15802002,1859.833208
DNK,Denmark,250758.9844,248053.9688,5.624293,2.782563686,1436.314296,253681.0938,250851.7344,5.646899,2.806679726,1438.395954
MAR,Morocco,236426.3281,250929.4375,33.452686,12.15225506,,242965.2813,249680.5781,33.921203,12.27950287,
UZB,Uzbekistan,231360.7969,248718.5469,29.033361,12.68580818,,241496.6094,247381.1406,29.469913,12.97911549,
KWT,Kuwait,262047.8438,282512.2188,3.593689,1.792272091,,239770.2813,260110.5781,3.753121,1.879658818,
IRL,Ireland,217563.7969,230467.7188,4.671263,1.840637088,1815.047558,227991.9375,242766.4219,4.675164,1.851950288,1821.255446
FIN,Finland,221818.6094,207035.8125,5.453061,2.609045744,1639.585649,221382.4844,210108.875,5.47966,2.598491669,1642.505503
LKA,Sri Lanka,194870.3906,206123.125,20.521959,6.991537094,2075.498918,213249.3438,223265.2031,20.618991,6.968264103,2075.498918
AGO,Angola,183896.4063,209682.5625,23.448202,8.035345078,,193041.4531,213269.2656,24.227524,8.343885422,
BLR,Belarus,183494.4688,185490.0313,9.497294,4.484665871,,192766.875,191036.0938,9.500422,4.499247074,
SDN,Sudan (Former),181025.1875,177487.125,49.23992743,12.00440598,,190194.625,187533.5469,50.30766862,12.34889317,
ECU,Ecuador,166485.7188,172399.5313,15.661312,5.998096943,2085.714286,174424.625,176426.3281,15.902916,6.12988472,2085.714286
OMN,Oman,163194.8906,166375.9688,3.906912,1.800487757,,163204.4688,161079.0156,4.236057,2.008013964,
NZL,New Zealand,151802.4375,147816.5469,4.465276,2.293126106,1752,156149,153141.7813,4.495482,2.36486125,1762
SVK,Slovakia,150063.4063,128856.9531,5.419288,2.164668322,1771.614095,155140.6719,135634.4375,5.422861,2.194892168,1763.211659
AZE,Azerbaijan,153906.8125,152503.6563,9.497496,4.66229105,,152987,154454.3594,9.629779,4.748114586,
DOM,Dominican Republic,122407.125,125188.7969,10.281408,4.043355465,,130188.6484,132476.8281,10.405943,4.223328114,
ETH,Ethiopia,117826.4688,130283.3672,94.558374,43.68492126,,128286.7109,145854.5625,96.958732,45.28184128,
BGR,Bulgaria,121904.3906,117113.5469,7.252539,3.554341793,1644.979512,125746.5313,122006.4922,7.201308,3.571340084,1644.058972
KEN,Kenya,118693.6641,125782.4297,43.692881,16.50202179,,124215.5078,133282.25,44.863583,17.03790283,
TUN,Tunisia,112826.6797,116327.1328,11.005706,3.365620613,,115368,118659.1406,11.130154,3.438845873,
TZA,U.R. of Tanzania: Mainland,102331.375,108124.8359,48.829347,21.27311516,,111640.2422,117713.7656,50.443621,21.97703552,
TKM,Turkmenistan,101785.3047,101127.0313,5.240088,2.629409313,,111203.7188,108934.0156,5.307188,2.678724527,
GTM,Guatemala,104637.6641,105246.7266,15.690793,4.870840073,,109715.6016,110703.1563,16.015494,5.01128912,
